OntologyAnnotation.subject.symbol,OntologyAnnotation.subject.background.name,Zygosity,ContainsHoloprosencephaly,CombinedPhenotypes,CombinedPubmed,HPE_strains
Cripto<tm1Mms>/Cripto<tm2Mms>,involves: 129S6/SvEvTac * C57BL/6,ht,TRUE,"abnormal endoderm development, abnormal endoderm development, abnormal endoderm development, abnormal endoderm development, abnormal endoderm development, abnormal endoderm development, abnormal mesendoderm development, abnormal mesendoderm development, absent anterior definitive endoderm, absent anterior definitive endoderm, absent notochord, absent notochord, absent prechordal plate, absent prechordal plate, cyclopia, cyclopia, decreased forebrain size, decreased forebrain size, decreased midbrain size, decreased midbrain size, fused somites, fused somites, holoprosencephaly, holoprosencephaly, holoprosencephaly, holoprosencephaly, premature death, premature death, rostral body truncation, rostral body truncation, rostral body truncation, rostral body truncation",16291788,129S6/SvEvTac|C57BL/6
Cripto<tm2Mms>/Cripto<tm2.1Mms>,involves: 129S6/SvEvTac * C57BL/6,ht,TRUE,"abnormal endoderm development, abnormal endoderm development, abnormal endoderm development, abnormal endoderm development, abnormal endoderm development, abnormal endoderm development, abnormal mesendoderm development, abnormal mesendoderm development, absent anterior definitive endoderm, absent anterior definitive endoderm, absent notochord, absent notochord, absent prechordal plate, absent prechordal plate, cyclopia, cyclopia, decreased forebrain size, decreased forebrain size, decreased midbrain size, decreased midbrain size, fused somites, fused somites, holoprosencephaly, holoprosencephaly, holoprosencephaly, holoprosencephaly, premature death, premature death, rostral body truncation, rostral body truncation, rostral body truncation, rostral body truncation",16291788,129S6/SvEvTac|C57BL/6
Crkl<snoopy>/Crkl<snoopy>,involves: C3H/HeH * C57BL/6JAnu,hm,TRUE,"abnormal eye development, abnormal forebrain morphology, absent mandible, cyclopia, holoprosencephaly, mandible hypoplasia, ocular hypotelorism",23469164,C3H/HeH|C57BL/6JAnu
Crkl<snoopy>/Crkl<snoopy>,involves: C57BL/6JAnu,hm,TRUE,"abnormal auditory bulla morphology, abnormal basisphenoid bone morphology, abnormal craniofacial morphology, abnormal craniofacial morphology, abnormal craniofacial morphology, abnormal mandible morphology, abnormal oral cavity morphology, abnormal oral cavity morphology, abnormal palatal shelf morphology, abnormal palatal shelf morphology, abnormal palatine bone morphology, abnormal pharynx morphology, abnormal pharynx morphology, abnormal zygomatic arch morphology, absent mandible, absent tongue, anophthalmia, basisphenoid bone hypoplasia, cleft secondary palate, cyclopia, decreased mouth size, delayed palatal shelf elevation, holoprosencephaly, increased palatal shelf size, mandible hypoplasia, maxilla hypoplasia, maxilla hypoplasia, microphthalmia, premaxilla hypoplasia, proboscis, tongue hypoplasia, tongue hypoplasia",25565927,C57BL/6JAnu
Dctn5<b2b315Clo>/Dctn5<b2b315Clo>,C57BL/6J-Dctn5<b2b315Clo>,hm,TRUE,"abnormal aortic valve morphology, abnormal eye morphology, abnormal mouth morphology, acephaly, double outlet right ventricle, ventricular defect committed to aorta, holoprosencephaly, microcephaly, micrognathia, overriding aortic valve, perimembraneous ventricular septal defect, polycystic kidney, situs inversus totalis, ventricular septal defect",NA,C57BL/6J
Del(1)3H/+,involves: 101/H * C3H/He,ht,FALSE,"belly spot, head spot, kinked tail, postnatal growth retardation",NA,101/H|C3H/He
Del(10)77H/+,involves: 101/H * C3H/HeH,ht,FALSE,postnatal growth retardation,NA,101/H|C3H/HeH
Del(10Prmt2-Col6a1)1Yah/+,involves: 129P2/OlaHsd * C57BL/6 * SJL,ht,FALSE,"abnormal cytokine level, abnormal cytokine level, abnormal macrophage physiology, abnormal macrophage physiology, abnormal respiratory system physiology, behavior/neurological phenotype, behavior/neurological phenotype, behavior/neurological phenotype, behavior/neurological phenotype, behavior/neurological phenotype, decreased hematocrit, growth/size/body region phenotype, increased red blood cell distribution width, lung inflammation, lung inflammation, respiratory system inflammation",17591625,129P2/OlaHsd|C57BL/6|SJL
Del(10Prmt2-Cstb)4Yah/+,involves: 129P2/OlaHsd * BALB/c * C3H/HeH * C57BL/6,ht,FALSE,"behavior/neurological phenotype, behavior/neurological phenotype, behavior/neurological phenotype",21047530,129P2/OlaHsd|BALB/c|C3H/HeH|C57BL/6
Del(10Prmt2-Pdxk)4Yey/+,129S/SvEv-Del(10Prmt2-Pdxk)129S/SvEv-Del(10Prmt2-Pdxk)4Yey,ht,FALSE,"abnormal motor coordination/balance, abnormal spatial learning, behavior/neurological phenotype, impaired contextual conditioning behavior",20512340,129S/SvEv
Del(11Chad-Hoxb1)19Brd/+,involves: 129S7/SvEvBrd * C57BL/6,ht,FALSE,female infertility,16489219,129S7/SvEvBrd|C57BL/6
Del(11Cops3-Gid4)2Jrl/+,involves: 129S7/SvEvBrd * C57BL/6,ht,FALSE,"abnormal contextual conditioning behavior, abnormal response to new environment, abnormal response to new environment, asymmetric snout, decreased locomotor activity, flattened snout, increased startle reflex, increased vertical activity, obese, ocular hypertelorism, short nasal bone, short snout","17517686, 15459175",129S7/SvEvBrd|C57BL/6
Del(11Cops3-Rnf112)1Jrl/+,involves: 129S7/SvEvBrd * C57BL/6,ht,FALSE,"abnormal behavior, abnormal behavior, abnormal body weight, abnormal brain wave pattern, abnormal cranium morphology, abnormal gametogenesis, abnormal nasal bone morphology, abnormal sperm flagellum morphology, broad nasal bone, broad snout, decreased birth weight, decreased cranium height, decreased locomotor activity, decreased locomotor activity, decreased locomotor activity, decreased vertical activity, decreased vertical activity, increased abdominal fat pad weight, increased percent body fat/body weight, obese, oligozoospermia, reduced male fertility, seizures, short nasal bone, short snout, shortened circadian behavior period, tonic-clonic seizures, tonic-clonic seizures, tonic-clonic seizures","14709593, 12724422",129S7/SvEvBrd|C57BL/6
Del(11Irf1-D11Mit23)1Rub/+,129/Sv-Del(11Irf1-D11Mit23)1Rub,ht,FALSE,"decreased circulating carnitine level, impaired lipolysis, increased circulating VLDL triglyceride level",10655497,129/Sv
Del(11Mpo-Chad)18Brd/+,involves: 129S7/SvEvBrd * C57BL/6,ht,FALSE,"abnormal heart morphology, abnormal heart morphology, abnormal heart morphology, female infertility, heart right ventricle outflow tract stenosis, inlet ventricular septal defect, neonatal lethality, incomplete penetrance, overriding aortic valve, perimembraneous ventricular septal defect, pulmonary trunk hypoplasia, transposition of great arteries",16489219,129S7/SvEvBrd|C57BL/6
Del(11Rr325)1Smun/+,involves: 129P2/OlaHsd * C57BL/6J,ht,FALSE,"embryonic lethality, complete penetrance",27706140,129P2/OlaHsd|C57BL/6J
Del(11Stat5a-Stat5b)1Mam/+,involves: 129 * 129S6/SvEvTac * C57BL/6,ht,FALSE,decreased tumor incidence,16493008,129|129S6/SvEvTac|C57BL/6
Del(13)80H/+,involves: 101/H * C3H/HeH,ht,FALSE,decreased body size,NA,101/H|C3H/HeH
Del(13Simc1-B4galt7)2Dja/+,involves: 129P2/OlaHsd * 129S5/SvEvBrd * 129S7/SvEvBrd * C57BL/6J,ht,FALSE,"decreased fetal size, fetal growth retardation",22926222,129P2/OlaHsd|129S5/SvEvBrd|129S7/SvEvBrd|C57BL/6J
Del(13Simc1-B4galt7)2Dja/+,involves: 129P2/OlaHsd * 129S7/SvEvBrd * BALB/cJ * C57BL/6J,ht,FALSE,"decreased fetal size, fetal growth retardation",22926222,129P2/OlaHsd|129S7/SvEvBrd|BALB/cJ|C57BL/6J
Del(13Simc1-B4galt7)2Dja/+,involves: 129P2/OlaHsd * 129S7/SvEvBrd * C57BL/6J,ht,FALSE,"abnormal habituation to a novel odor, craniofacial phenotype, decreased birth weight, decreased body length, decreased body weight, decreased fetal size, decreased lean body mass, dilated kidney calyx, fetal growth retardation, renal/urinary system phenotype, skeleton phenotype",22926222,129P2/OlaHsd|129S7/SvEvBrd|C57BL/6J
Del(13Simc1-B4galt7)2Dja/+,involves: 129P2/OlaHsd * 129S7/SvEvBrd * C57BL/6J * CBA/J,ht,FALSE,"decreased fetal size, fetal growth retardation",22926222,129P2/OlaHsd|129S7/SvEvBrd|C57BL/6J|CBA/J
Del(14)1.1Hsak/+,involves: 129S2/SvPas * C57BL/6 * C57BL/6NTac,ht,FALSE,no phenotypic analysis,18077433,129S2/SvPas|C57BL/6|C57BL/6NTac
Del(14)3Mom/+,(C57BL/6J x 129P2/OlaHsd)F1,ht,FALSE,abnormal olfactory receptor morphology,17662950,C57BL/6Jx129P2/OlaHsdF1
Del(14Ltb4r2-Ltb4r1)1Bodd/+,involves: 129S4/SvJaeSor * C57BL/6,ht,FALSE,decreased susceptibility to induced arthritis,16670336,129S4/SvJaeS
Del(14Trim13-Dleu2)4Rdf/+,involves: 129S1/Sv * 129S4/SvJaeSor * C57BL/6,ht,FALSE,increased B cell derived lymphoma incidence,20060366,129S1/Sv|129S4/SvJaeS
Del(16App-Runx1)5Yah/+,involves: 129S1/Sv * 129X1/SvJ * BALB/c * C57BL/6,ht,FALSE,"cardiovascular system phenotype, perinatal lethality, incomplete penetrance",22693452,129S1/Sv|129X1/SvJ|BALB/c|C57BL/6
Del(16Cbr1-Fam3b)1Rhr/+,involves: 129S6/SvEvTac * C57BL/6,ht,FALSE,"behavior/neurological phenotype, decreased body size, decreased body size, decreased hippocampus volume, enlarged cerebellum, increased Purkinje cell number, increased brain size, increased cerebellar granule cell number, infertility","17339268, 15499018",129S6/SvEvTac|C57BL/6
Del(16Cldn5-Hira)5Bld/+,B6.Cg-Tyr<c-Brd> Del(16Cldn5-Hira)5Bld,ht,FALSE,nervous system phenotype,16684884,B6|Cg
Del(16Cldn5-Hira)5Bld/+,involves: 129S7/SvEvBrd * C57BL/6,ht,FALSE,nervous system phenotype,12858556,129S7/SvEvBrd|C57BL/6
Del(16Dgcr2-Arvcf)1Ais/+,involves: 129/Sv * C57BL/6J * SJL,ht,FALSE,no abnormal phenotype detected,10963672,129/Sv|C57BL/6J|SJL
Del(16Dgcr2-Hira)1Rak/+,involves: 129/Sv * 129S6/SvEvTac * C57BL/6 * FVB/N * SJL,ht,FALSE,"aberrant origin of the right subclavian artery, aberrant origin of the right subclavian artery, abnormal aortic arch and aortic arch branch attachment, abnormal aortic arch morphology, abnormal brachiocephalic trunk morphology, abnormal common carotid artery morphology, absent parathyroid glands, absent parathyroid glands, immune system phenotype, interrupted aortic arch, patent ductus arteriosus, perinatal lethality, incomplete penetrance, retroesophageal right subclavian artery, right aortic arch, ventricular septal defect",11239417,129/Sv|129S6/SvEvTac|C57BL/6|FVB/N|SJL
Del(16Dgcr2-Hira)3Aam/+,involves: 129S1/Sv * 129S7/SvEvBrd * C57BL/6J,ht,FALSE,"abnormal cardiovascular system morphology, abnormal contextual conditioning behavior, abnormal cued conditioning behavior, abnormal dendrite morphology, abnormal spatial working memory, decreased prepulse inhibition, hyperactivity, increased anxiety-related response, increased anxiety-related response, perinatal lethality, incomplete penetrance",18469815,129S1/Sv|129S7/SvEvBrd|C57BL/6J
Del(16Dgcr2-Hira)3Aam/+,involves: 129S7/SvEvBrd,ht,FALSE,"abnormal dendrite morphology, abnormal dendrite morphology, abnormal dendritic spine morphology, abnormal dendritic spine morphology, abnormal dendritic spine morphology, abnormal miniature excitatory postsynaptic currents, abnormal synapse morphology",18836441,129S7/SvEvBrd
Del(16Dgcr2-Hira)3Aam/+,involves: 129S7/SvEvBrd * C57BL/6J,ht,FALSE,"abnormal nervous system physiology, abnormal nervous system physiology, abnormal nervous system physiology, abnormal spatial working memory",20360742,129S7/SvEvBrd|C57BL/6J
Del(16Dppa4-Dppa2)1Reik/+,involves: C57BL/6 * FVB/N,ht,FALSE,"maternal effect, reproductive system phenotype",34931676,C57BL/6|FVB/N
Del(16Dyrk1a-Kcnj6)14Yey/+,B6.129S7-Del(16Dyrk1a-Kcnj6)14Yey,ht,FALSE,transmission ratio distortion,26374847,B6|129S7
Del(16Es2el-Sept5)3Bld/+,B6.Cg-Tyr<c-Brd> Del(16Es2el-Sept5)3Bld,ht,FALSE,decreased prepulse inhibition,16684884,B6|Cg
Del(16Es2el-Sept5)3Bld/+,involves: 129S7/SvEvBrd,ht,FALSE,abnormal fourth pharyngeal arch artery morphology,11242049,129S7/SvEvBrd
Del(16Es2el-T10)2Bld/+,B6.129S7-Del(16Es2el-T10)2Bld,ht,FALSE,"behavior/neurological phenotype, enhanced long-term potentiation, enhanced long-term potentiation, enhanced long-term potentiation",23055483,B6|129S7
Del(16Es2el-T10)2Bld/+,B6.Cg-Tyr<c-Brd> Del(16Es2el-T10)2Bld,ht,FALSE,nervous system phenotype,16684884,B6|Cg
Del(16Es2el-T10)2Bld/+,involves: 129S7/SvEvBrd,ht,FALSE,cardiovascular system phenotype,11242049,129S7/SvEvBrd
Del(16Es2el-Ufd1l)217Bld/+,B6.129S7-Del(16Es2el-Ufd1l)217Bld,ht,FALSE,"abnormal brain interneuron morphology, abnormal brain interneuron morphology, abnormal neuron proliferation, abnormal neuronal migration, abnormal neuronal migration, abnormal neuronal migration, decreased dentate gyrus size, enhanced long-term potentiation, enhanced long-term potentiation, enhanced long-term potentiation","24101523, 23055483",B6|129S7
Del(16Es2el-Ufd1l)217Bld/+,B6.Cg-Tyr<c-Brd> Del(16Es2el-Ufd1l)217Bld,ht,FALSE,decreased prepulse inhibition,16684884,B6|Cg
Del(16Es2el-Ufd1l)217Bld/+,involves: 129S7/SvEvBrd,ht,FALSE,"fourth pharyngeal arch artery hypoplasia, fourth pharyngeal arch artery hypoplasia, reproductive system phenotype",12858556,129S7/SvEvBrd
Del(16Es2el-Ufd1l)217Bld/+,involves: 129S7/SvEvBrd * C57BL/6,ht,FALSE,"aberrant origin of the right subclavian artery, abnormal fourth pharyngeal arch artery morphology, abnormal fourth pharyngeal arch artery morphology, abnormal fourth pharyngeal arch artery morphology, abnormal heart morphology, absent fourth pharyngeal arch artery, heart right ventricle outflow tract stenosis, homeostasis/metabolism phenotype, immune system phenotype, interrupted aortic arch, neonatal lethality, incomplete penetrance, overriding aortic valve, retroesophageal right subclavian artery, ventricular septal defect","10517636, 11242049",129S7/SvEvBrd|C57BL/6
Del(16Hspa13-App)3Yah/+,B6J.129P2-Del(16Hspa13-App)3Yah,ht,FALSE,"abnormal cellular respiration, abnormal mitochondrial physiology, abnormal mitochondrial physiology, abnormal muscle physiology, abnormal muscle physiology, abnormal muscle physiology, abnormal skeletal muscle fiber type ratio, abnormal skeletal muscle morphology, decreased body weight, decreased grip strength, decreased skeletal muscle mass, enhanced coordination, enhanced coordination, increased locomotor activity, increased locomotor activity, increased mitochondrial DNA content",25803843,B6J|129P2
Del(16Kcnj15-Mx2)13Yey/+,B6.129S7-Del(16Kcnj15-Mx2)13Yey,ht,FALSE,transmission ratio distortion,26374847,B6|129S7
Del(16Lipi-Usp25)1Dja/+,involves: 129P2/OlaHsd * C57BL/6,ht,FALSE,"abnormal social investigation, hepatic steatosis, homeostasis/metabolism phenotype, increased percent body fat/body weight, increased subcutaneous adipose tissue amount, increased susceptibility to diet-induced obesity, increased total body fat amount, taste/olfaction phenotype",22276124,129P2/OlaHsd|C57BL/6
Del(16Pi4ka-Hira)1Atai/+,C57BL/6N-Del(16Pi4ka-Hira)1Atai,ht,FALSE,"abnormal cardiovascular system morphology, abnormal circadian behavior, abnormal circadian behavior, abnormal locomotor circadian rhythm, abnormal right subclavian artery morphology, abnormal social recognition, abnormal social recognition, abnormal visual evoked potential, decreased locomotor activity, decreased locomotor activity, decreased locomotor activity, decreased prepulse inhibition, decreased prepulse inhibition, enhanced discrimination learning, enhanced discrimination learning, impaired cued conditioning behavior, impaired cued conditioning behavior, increased startle reflex, interrupted aortic arch, neonatal lethality, incomplete penetrance, reduced sensorimotor gating, thymus hypoplasia",32066675,C57BL/6N
Del(16Setd4-Kcnj6)12Yey/+,B6.129S7-Del(16Setd4-Kcnj6)12Yey,ht,FALSE,transmission ratio distortion,26374847,B6|129S7
Del(16T10-Hira)4Bld/+,B6.Cg-Tyr<c-Brd> Del(16T10-Hira)4Bld,ht,FALSE,decreased prepulse inhibition,16684884,B6|Cg
Del(16T10-Hira)4Bld/+,involves: 129S7/SvEvBrd,ht,FALSE,abnormal fourth pharyngeal arch artery morphology,11242049,129S7/SvEvBrd
Del(16Tiam1-Il10rb)9Yey/+,involves: 129S7/SvEvBrd * C57BL/6J,ht,FALSE,no phenotypic analysis,24362460,129S7/SvEvBrd|C57BL/6J
Del(16Tiam1-Kcnj6)7Yey/+,involves: 129S7/SvEvBrd,ht,FALSE,"lethality, complete penetrance",21442329,129S7/SvEvBrd
Del(16Tssk1-Tssk2)1Joch/+,chimera involves: 129X1/SvJ,ht,FALSE,"abnormal seminiferous tubule morphology, abnormal spermatid morphology, abnormal spermatogenesis, arrest of spermatogenesis, azoospermia, azoospermia, decreased testis weight, male infertility, small testis",18533145,chimera129X1/SvJ
Del(16Zfp520-Slc25a1)1Awb/+,B6.129S6-Del(16Zfp520-Slc25a1)1Awb,ht,FALSE,nervous system phenotype,23055483,B6|129S6
Del(16Zfp520-Slc25a1)1Awb/+,involves: 129S6/SvEvTac,ht,FALSE,"abnormal prepulse inhibition, abnormal prepulse inhibition, behavior/neurological phenotype, cardiovascular system phenotype, embryonic lethality between implantation and somite formation, complete penetrance, inner cell mass degeneration",10545603,129S6/SvEvTac
Del(16Zfp520-Slc25a1)1Awb/+,involves: 129S6/SvEvTac * NIH Black Swiss,ht,FALSE,"abnormal prepulse inhibition, abnormal prepulse inhibition, behavior/neurological phenotype, cardiovascular system phenotype, embryonic lethality between implantation and somite formation, complete penetrance, impaired coordination, inner cell mass degeneration",10545603,129S6/SvEvTac|NIHBlackSwiss
Del(17)T<Orl>/+,B6.Cg-Del(17)T<Orl>/EiJ,ht,FALSE,"primary sex reversal, primary sex reversal",11514455,B6|Cg
Del(17)T<Orl>/+,involves: C57BL/6J * Orl:Swiss,ht,FALSE,"abnormal tail morphology, short tail",NA,C57BL/6J|Orl:Swiss
Del(17)T<hp>/+,involves: AKR/J * C57BL/Gr * CBA/Gr,ht,FALSE,"abnormal cervical atlas morphology, abnormal cervical atlas morphology, abnormal cervical axis morphology, abnormal cervical axis morphology, abnormal cervical vertebrae morphology, abnormal cervical vertebrae morphology, abnormal neural tube closure, abnormal neural tube morphology, abnormal notochord morphology, abnormal notochord morphology, abnormal sacral vertebrae morphology, abnormal tail development, abnormal tail development, abnormal tail development, abnormal vertebral column morphology, absent notochord, decreased litter size, distended pericardium, edema, exencephaly, kinked tail, maternal effect, open neural tube, polydactyly, short tail, short tail, short vertebral column, slow postnatal weight gain, spina bifida, thick tail",4838760,AKR/J|C57BL/Gr|CBA/Gr
Del(17Abcg1-Cbs)2Yah/+,B6.129P2-Del(17Abcg1-Cbs)2Yah,ht,FALSE,"abnormal social investigation, behavior/neurological phenotype, behavior/neurological phenotype, decreased locomotor activity, enhanced contextual conditioning behavior, enhanced long-term potentiation, increased circulating homocysteine level","24752061, 19783846",B6|129P2
Del(17Abcg1-Rrp1b)5Yey/+,129S.129S7-Del(17Abcg1-Rrp1b)5Yey,ht,FALSE,"abnormal spatial learning, behavior/neurological phenotype, impaired contextual conditioning behavior, impaired swimming",20512340,129S|129S7
Del(19Lbx1-Poll)6Fsp/+,involves: 129P2/OlaHsd * 129S1/Sv,ht,FALSE,no phenotypic analysis,23453598,129P2/OlaHsd|129S1/Sv
Del(1Fmo4-Fmo2)1Eshe/+,B6.129P2-Del(1Fmo4-Fmo2)1Eshe,ht,FALSE,enhanced behavioral response to anesthetic,19262426,B6|129P2
Del(2)Pax6<11Neu>/+,involves: 102 * C3H,ht,FALSE,"abnormal cortical ventricular zone morphology, abnormal eye distance/ position, abnormal eye morphology, abnormal forebrain morphology, abnormal iris pigmentation, abnormal postnatal subventricular zone morphology, absent eye anterior chamber, coloboma, decreased body weight, fused cornea and lens, increased cornea thickness, iris coloboma, microphthalmia, pigmentation phenotype, telencephalon hypoplasia",19474196,102|C3H
Del(2)Pax6<12Neu>/+,involves: 102 * C3H,ht,FALSE,"abnormal corneal epithelium morphology, abnormal cortical ventricular zone morphology, abnormal eye morphology, abnormal forebrain morphology, abnormal postnatal subventricular zone morphology, absent eye anterior chamber, decreased body weight, eye opacity, fused cornea and lens, increased cornea thickness, irregularly shaped pupil, microphthalmia, pigmentation phenotype, telencephalon hypoplasia, vacuolated lens",19474196,102|C3H
Del(2)Pax6<13Neu>/+,involves: 102 * C3H,ht,FALSE,"decreased body weight, eye opacity, microphthalmia, pigmentation phenotype",19474196,102|C3H
Del(2Cd44-Hoxd11)43Ddu/+,involves: 129S1/Sv * 129S2/SvPas * 129X1/SvJ,ht,FALSE,"prenatal lethality, complete penetrance",15995706,129S1/Sv|129S2/SvPas|129X1/SvJ
Del(2Gm13672-Hoxd11)68Ddu/+,involves: 129S2/SvPas * C57BL/6 * SJL,ht,FALSE,"abnormal caudal neuropore morphology, abnormal cervical axis morphology, abnormal cervical vertebrae morphology, abnormal cervical vertebrae morphology, abnormal embryo development, abnormal rib morphology, abnormal rib morphology, abnormal somite development, abnormal sternebra morphology, abnormal sternocostal joint morphology, abnormal sternum morphology, abnormal vertebral arch morphology, cervical vertebral transformation, decreased thoracic vertebrae number, prenatal lethality, incomplete penetrance, reduced fertility, vertebral transformation",10319820,129S2/SvPas|C57BL/6|SJL
Del(2Hoxd-Itga6)42Ddu/+,involves: 129P2/OlaHsd * 129S2/SvPas,ht,FALSE,"prenatal lethality, complete penetrance",15995706,129P2/OlaHsd|129S2/SvPas
Del(2Hoxd1-Hoxd10)26Ddu/+,involves: 129S2/SvPas * C57BL/6 * CBA,ht,FALSE,behavior/neurological phenotype,22863319,129S2/SvPas|C57BL/6|CBA
Del(2Hoxd1-Hoxd10)26Ddu/+,involves: 129S2/SvPas * C57BL/6 * DBA/2,ht,FALSE,polydactyly,15192229,129S2/SvPas|C57BL/6|DBA/2
Del(2Hoxd1-Hoxd13)1Ddu/+,involves: 129S2/SvPas,ht,FALSE,dilated renal tubule,18159948,129S2/SvPas
Del(2Hoxd1-Hoxd13)1Ddu/+,involves: 129S2/SvPas * C57BL/6 * CBA,ht,FALSE,behavior/neurological phenotype,22863319,129S2/SvPas|C57BL/6|CBA
Del(2Hoxd1-Hoxd9)63Ddu/+,involves: C57BL/6 * CBA,ht,FALSE,"abnormal sexual interaction, abnormal sexual interaction, abnormal sexual interaction, increased mating frequency, malocclusion, postnatal growth retardation, postnatal lethality, incomplete penetrance, premature death, premature death, short snout",22863319,C57BL/6|CBA
Del(2Hoxd11)33Ddu/+,involves: 129S2/SvPas,ht,FALSE,no phenotypic analysis,12432383,129S2/SvPas
Del(2Hoxd11-Hoxd12)34Ddu/+,involves: 129S2/SvPas,ht,FALSE,no phenotypic analysis,12432383,129S2/SvPas
Del(2Hoxd11-Hoxd13)29Ddu/+,involves: 129S2/SvPas,ht,FALSE,"brachydactyly, brachydactyly, ectrodactyly, polydactyly","19546318, 8900279, 11543619",129S2/SvPas
Del(2Hoxd11-Hoxd13)2Ddu/+,involves: 129S2/SvPas,ht,FALSE,no phenotypic analysis,12403721,129S2/SvPas
Del(2Hoxd12-Hoxd13)35Ddu/+,Not Specified,ht,FALSE,no phenotypic analysis,18159948,NotSpecified
Del(2Hoxd12-Hoxd13)41Ddu/+,involves: 129S2/SvPas * C57BL/6 * SJL,ht,FALSE,no phenotypic analysis,9659925,129S2/SvPas|C57BL/6|SJL
Del(2Hoxd12-Hoxd13)5Ddu/+,involves: 129S2/SvPas,ht,FALSE,no phenotypic analysis,12403721,129S2/SvPas
Del(2Hoxd13)3Ddu/+,involves: 129S2/SvPas,ht,FALSE,no phenotypic analysis,12403721,129S2/SvPas
Del(2Hoxd4-Hoxd11)36Ddu/+,Not Specified,ht,FALSE,dilated renal tubule,18159948,NotSpecified
Del(2Hoxd4-Hoxd13)30Ddu/+,involves: 129S2/SvPas,ht,FALSE,dilated renal tubule,18159948,129S2/SvPas
Del(2Hoxd4-Hoxd9)40Ddu/+,involves: 129S2/SvPas,ht,FALSE,no phenotypic analysis,19266017,129S2/SvPas
Del(2Hoxdi-Hoxd13)37Ddu/+,Not Specified,ht,FALSE,no phenotypic analysis,18159948,NotSpecified
Del(2Igs15-Igs10)65Ddu/+,Not Specified,ht,FALSE,no phenotypic analysis,23744951,NotSpecified
Del(2Igs15-Igs9)66Ddu/+,involves: 129S1/Sv,ht,FALSE,no phenotypic analysis,23744951,129S1/Sv
Del(2Igs15-Rr31)64Ddu/+,involves: 129S1/Sv,ht,FALSE,no phenotypic analysis,23744951,129S1/Sv
Del(2Igs9-Rr31)67Ddu/+,involves: 129S1/Sv,ht,FALSE,no phenotypic analysis,23744951,129S1/Sv
Del(2Nespas-Gnas)1Hju/+,either: (involves: 129S4/SvJae) or (involves: 129S4/SvJae * C57BL/6J),ht,FALSE,"abnormal DNA methylation, abnormal body size, abnormal imprinting, decreased birth weight, hyperactivity, maternal imprinting, postnatal growth retardation, postnatal lethality, complete penetrance, skin edema",20427744,129S4/SvJae
Del(3Bglap2-Bglap)1Kry/+,Not Specified,ht,FALSE,no phenotypic analysis,21333348,NotSpecified
Del(4Ago3-Ago4)1Ghan/+,involves: 129S7/SvEvBrd * C57BL/6 * C57BL/6J * Swiss Webster,ht,FALSE,no phenotypic analysis,NA,129S7/SvEvBrd|C57BL/6|C57BL/6J|SwissWebster
Del(4C4-C5)1Lap/+,involves: 129S6/SvEvTac,ht,FALSE,"enlarged liver, enlarged spleen, postnatal lethality, incomplete penetrance, prenatal lethality, incomplete penetrance",20173736,129S6/SvEvTac
Del(4Cdkn2a-Cdkn2b)1Brn/+,involves: 129P2/OlaHsd,ht,FALSE,"increased intestinal adenoma incidence, increased leukemia incidence, increased lymphoma incidence, increased sarcoma incidence, increased skin tumor incidence, increased tumor incidence",17713536,129P2/OlaHsd
Del(4Cdkn2a-Cdkn2b)2Brn/+,involves: 129P2/OlaHsd * FVB/N,ht,FALSE,"increased intestinal adenocarcinoma incidence, increased leukemia incidence, increased lymphoma incidence, increased melanoma incidence, increased sarcoma incidence, increased skin tumor incidence, increased tumor incidence, increased tumor incidence",17713536,129P2/OlaHsd|FVB/N
Del(4D4Mit190-D4Mit51)2Aam/+,involves: 129S7/SvEvBrd,ht,FALSE,"abnormal mitosis, abnormal renal/urinary system morphology, delayed cellular replicative senescence, esophageal epithelium hyperplasia, increased fibroblast proliferation, increased lymphoma incidence, increased squamous cell carcinoma incidence, spleen hyperplasia, uterus hyperplasia",17289567,129S7/SvEvBrd
Del(5D5Mit148-Qdpr)2Jcs/+,involves: 129S4/SvJae * C3H * C57BL/6J,ht,FALSE,decreased body weight,11152656,129S4/SvJae|C3H|C57BL/6J
Del(5D5Mit148-Qdpr)2Jcs/+,involves: 129S4/SvJae * C57BL/6J,ht,FALSE,"abnormal cerebellar lobule formation, abnormal cerebral cortex morphology, abnormal corpora quadrigemina morphology, abnormal craniofacial morphology, abnormal gait, behavior/neurological phenotype, decreased body weight, domed cranium, kinked tail, neonatal lethality, incomplete penetrance, ocular hypertelorism, small ears, vision/eye phenotype",11152656,129S4/SvJae|C57BL/6J
Del(5D5Mit348-D5Mit389)6Jcs/+,involves: 129S4/SvJae * C57BL/6J,ht,FALSE,behavior/neurological phenotype,11152656,129S4/SvJae|C57BL/6J
Del(5D5Mit388-D5Mit351)4Jcs/+,involves: 129S4/SvJae * C57BL/6J,ht,FALSE,"abnormal cerebral cortex morphology, abnormal corpora quadrigemina morphology, abnormal craniofacial morphology, abnormal seizure response to electrical stimulation, atelectasis, cataract, corneal opacity, domed cranium, iris coloboma, ocular hypertelorism, small ears",11152656,129S4/SvJae|C57BL/6J
Del(5D5Mit73-D5Mit351)5Jcs/+,involves: 129S4/SvJae * C3H * C57BL/6J,ht,FALSE,decreased body weight,11152656,129S4/SvJae|C3H|C57BL/6J
